id_produto;link_produto;categoria;descricao;preco_de;preco_por;imagem
01Y2;http://homologa.heringwebstore.com.br/regata-feminina-basica-em-meia-malha-modelagem-tradicional-01y2?partner=&utm_source=clickaporter&utm_medium=REGATA+FEMININA+B%C1SICA+EM+MEIA+MALHA+MODELAGEM+TRADICIONAL;Regatas;"Regata feminina básica confeccionada em meia malha com algodão e elastano em sua composição promovendo conforto e liberdade nos movimentos. Possui modelagem básica tradicional com alças largas e decote redondo. Perfeita para compor looks em diversas ocasiões.";24,99;;http://homologa.heringwebstore.com.br/media/catalog/product/01Y2-AU007S-C1.jpg;"BRANCO                                  PRETO                                   ROSA                     VERDE";PMGXGXXG
0201;http://homologa.heringwebstore.com.br/camiseta-masculina-basica-em-meia-malha-0201?partner=&utm_source=clickaporter&utm_medium=CAMISETA+MASCULINA+B%C1SICA+EM+MEIA+MALHA;"Camisetas,Masculino Alto Verão";"Camiseta masculina básica comnfeccionada em meia malha que promove conforto.";24,99;;http://homologa.heringwebstore.com.br/media/catalog/product/0201-N0A00S-C2.jpg;"MESCLA                                  BRANCO                                  PRETO                                   AMARELO CLARO                           AZUL ESCURO                             CINZA                                   LARANJA                                 VERMELHO                 VERDE CIANO                             ";PMXGXXGG
0204;http://homologa.heringwebstore.com.br/camiseta-manga-longa-masculina-em-meia-malha-basica-0204?partner=&utm_source=clickaporter&utm_medium=CAMISETA+MANGA+LONGA+MASCULINA+EM+MEIA+MALHA+B%C1SICA;Camisetas;"Camisa manga longa masculina básica em meia malha.";29,99;;http://homologa.heringwebstore.com.br/media/catalog/product/0204-AV300S-C1.jpg;"MESCLA                                  BRANCO                                  PRETO                                   AMARELO CLARO                           AZUL ESCURO                             CINZA                                   LARANJA                                 VERMELHO                 VERDE CIANO                             ";PMXGXXGG
0227;http://homologa.heringwebstore.com.br/camiseta-masculina-basica-em-meia-malha-0227?partner=&utm_source=clickaporter&utm_medium=CAMISETA+MASCULINA+B%C1SICA+EM+MEIA+MALHA;Camisetas;"Camiseta básica masculina confeccionada em meia malha. linda essa peça conta com uma gama de cores que permite compor vários looks.";34,99;;http://homologa.heringwebstore.com.br/media/catalog/product/0227-EAC07S-C1.jpg;"BRANCO                                  PRETO                                   NOVO MESCLA                             AZUL ESCURO                             ";PMGXGXXG
022B;http://homologa.heringwebstore.com.br/camiseta-masculina-em-meia-malha-na-modelagem-basica-022b?partner=&utm_source=clickaporter&utm_medium=CAMISETA+MASCULINA+EM+MEIA+MALHA+NA+MODELAGEM+B%C1SICA;Camisetas;"Camiseta masculina em meia malha básica com modelagem mais comprida no corpo e mangas. Possui várias opções de cores.";24,99;;http://homologa.heringwebstore.com.br/media/catalog/product/022B-EAC07S-C1.jpg;"BRANCO                                  ";PXXG
0241;http://homologa.heringwebstore.com.br/blusa-feminina-basica-em-meia-malha-modelagem-tradicional-0241?partner=&utm_source=clickaporter&utm_medium=BLUSA+FEMININA+B%C1SICA+EM+MEIA+MALHA+MODELAGEM+TRADICIONAL;"Blusas e Camisetas,Verão Hering";"Blusa feminina básica confeccionada em meia malha com algodão e poliéster em sua composição promovendo muito conforto e toque macio ao vestir. Possui modelagem tradicional, meia manga e decote redondo. Super confortável, é indispensável para compor looks despojados diversas ocasiões.";21,99;;http://homologa.heringwebstore.com.br/media/catalog/product/0241-N0A00S-C4.jpg;"BRANCO                                  PRETO                                   LARANJA                                 AZUL CLARO                              BORDÔ                                   ROXO                                    PINK                     ROXO                     VERMELHO                                VERDE";PMXGXXGG
0255;http://homologa.heringwebstore.com.br/camiseta-manga-longa-masculina-em-meia-malha-gola-alta-0255?partner=&utm_source=clickaporter&utm_medium=CAMISETA+MANGA+LONGA+MASCULINA+EM+MEIA+MALHA+GOLA+ALTA;Camisetas;"Camiseta manga longa masculina em meia-malha. Modelagem básica com gola alta. Design mais atual, novas cores. Se é básico é Original. Original só na Hering.";29,90;;http://homologa.heringwebstore.com.br/media/catalog/product/0255-N0A00S-C3.jpg;"BRANCO                                  PRETO                                   LARANJA                                 AZUL CLARO                              BORDÔ                                   ROXO                                    PINK                     ROXO                     VERMELHO                                VERDE";PMXGXXGG
026X;http://homologa.heringwebstore.com.br/camiseta-manga-longa-masculina-026x?partner=&utm_source=clickaporter&utm_medium=CAMISETA+MANGA+LONGA+MASCULINA;Camisetas;"Camisa manga longa masculina confeccionada em meia malha e fio tinto penteado.";34,99;;http://homologa.heringwebstore.com.br/media/catalog/product/026X-N1007S-C1.jpg;"BRANCO                                  PRETO                                   EAC10SAMARELO                                 CINZA                                   ";PXXGMG
0299;http://homologa.heringwebstore.com.br/camiseta-masculina-em-meia-malha-basica-com-decote-redondo-0299?partner=&utm_source=clickaporter&utm_medium=CAMISETA+MASCULINA+EM+MEIA+MALHA+B%C1SICA+COM+DECOTE+REDONDO;Camisetas;"Camiseta masculina confeccionada em meia malha que proporciona toque macio ao vestir. Possui modelagem tradicional básica, meia manga e decote redondo. Perfeita para compor looks em diversas ocasiões.";19,99;;http://homologa.heringwebstore.com.br/media/catalog/product/0299-ATJ07S-C2.jpg;"PRETO                                   ROSA                                    CINZA";PXGXXGG
02A5;http://homologa.heringwebstore.com.br/blusa-feminina-basica-em-ribana-decote-v-02a5?partner=&utm_source=clickaporter&utm_medium=BLUSA+FEMININA+B%C1SICA+EM+RIBANA+DECOTE+%22V%22;"Blusas e Camisetas";"Blusa feminina básica elaborada em malha ribana com algodão em sua composição, promovendo maciez e muito conforto ao vestir. Possui modelagem tradicional que se ajusta perfeitamente ao corpo, decote em ""V"" e meia manga. Super confortável, é perfeita para compor looks modernos e versáteis no dia a dia.";24,99;;http://homologa.heringwebstore.com.br/media/catalog/product/02A5-AU007S-C1.jpg;"PRETO                                   AZUL MARINHO                            AZUL ROYAL                              ";PXG
